HRUID2015,Smoking,HealtEat,PhysAct,Alcohol
1011,25.2973,75.6563,46.7528,58.1084
1012,20.1679,82.9242,58.8197,46.9319
1013,28.299,74.8014,55.8102,50.4916
1014,25.8061,79.3078,50.249,49.494
1100,14.8083,73.9364,43.3409,59.8171
1201,16.067,73.5846,50.3631,50.0652
1202,21.0829,79.7075,48.4628,46.6995
1203,21.5691,75.5687,48.305,49.4507
1204,18.0486,73.2994,37.7482,57.059
1301,13.7687,72.3147,48.2764,56.6636
1302,18.4274,69.6796,49.2617,45.217
1303,16.8074,67.5181,42.6495,47.9039
1304,28.1945,74.4335,46.6768,58.5326
1305,22.2307,75.3963,50.1376,49.8564
1306,19.6688,64.5977,50.5001,51.8375
1307,12.0069,79.9823,61.5037,46.858
2401,16.1489,63.1547,46.4886,70.5094
2402,17.8711,65.5991,49.4663,70.2158
2403,14.0724,61.1174,40.8944,77.3022
2404,17.3905,58.9099,48.31,69.2767
2405,16.5204,56.6679,43.6497,68.4238
2406,18.7397,63.7556,43.4668,62.7996
2407,23.2127,60.3966,48.3901,69.3905
2408,23.3453,63.0705,46.9679,64.9007
2409,20.403,64.3077,48.7088,66.2051
2410,26.853,58.3248,40.9172,71.5769
2411,20.1303,64.3885,58.3715,62.7505
2412,18.014,58.1813,50.3367,73.2549
2413,16.5738,58.4006,52.7937,62.6138
2414,23.9852,57.7938,45.3281,67.5403
2415,21.2609,59.383,45.118,65.8554
2416,17.5941,60.0614,42.0095,68.9863
3526,28.2836,73.7714,45.6604,60.0008
3527,18.4225,69.4222,40.003,61.2445
3530,20.331,71.99,43.6163,57.6205
3531,19.6365,78.3666,48.3682,51.2507
3533,17.6016,69.0793,44.3646,63.6178
3534,20.139,69.2591,43.7298,57.9789
3535,22.276,73.3476,39.1555,69.7122
3536,14.224,70.9669,46.0497,64.5542
3537,19.646,75.4486,42.0707,57.553
3538,23.0227,70.4138,48.2701,49.5708
3539,23.7507,73.1838,46.374,53.5968
3540,23.9379,76.3164,44.6517,56.4233
3541,20.6031,70.1896,38.0104,64.4713
3542,20.3431,76.279,53.8367,56.514
3543,14.5637,72.7412,43.0838,60.323
3544,18.5945,68.2645,41.9275,57.6015
3546,19.4671,70.6769,44.2166,58.0416
3547,16.4105,63.9949,44.8819,60.5439
3549,21.0093,73.0003,38.3313,64.9905
3551,14.5079,66.8189,35.2281,66.7524
3552,22.5038,75.1661,46.5516,59.7899
3553,11.1937,73.0134,48.3381,48.7565
3554,17.5145,67.4583,44.6681,65.2772
3555,17.5719,70.7363,46.7405,61.5823
3556,25.9297,75.0525,41.182,55.6976
3557,24.5174,71.8465,37.3332,62.176
3558,17.3067,64.7401,42.7632,57.5115
3560,20.0022,69.7494,43.727,65.1438
3561,24.5283,75.1929,45.5761,62.4562
3562,22.4798,72.3418,40.7817,62.3242
3563,25.5273,71.7317,46.887,45.6459
3565,20.2715,67.7616,45.2882,63.2384
3566,21.176,66.8508,39.6102,58.4128
3568,17.5752,71.3914,46.2093,57.2533
3570,14.4335,70.237,50.5693,56.5764
3595,16.4489,74.0207,42.2074,57.4071
4601,20.6883,70.8346,43.4491,57.4797
4602,21.2833,71.3704,49.5054,60.4858
4603,15.8743,71.4889,48.3215,65.5717
4604,24.7305,71.7921,37.8875,56.6642
4605,13.7629,69.8368,46.2098,54.2271
4701,29.0755,68.1103,48.9746,55.4903
4702,20.0962,68.2521,44.8699,63.5486
4703,11.6137,65.7252,52.8746,52.5078
4704,21.9998,73.6672,44.7761,56.799
4705,21.3726,78.2304,50.3225,55.5419
4706,21.2181,68.0545,44.6927,55.7795
4707,13.5494,69.49,48.2121,58.8306
4708,22.7312,70.7639,50.3773,51.9172
4709,31.3283,71.9122,46.422,53.4839
4710,26.2998,59.6489,44.9382,51.3436
4714,29.6104,82.3187,36.8776,57.4297
4831,21.359,73.5084,43.4299,53.5969
4832,13.9665,67.0913,37.1042,60.6876
4833,22.1695,68.9277,39.25,62.923
4834,20.0107,68.6505,42.5587,57.3435
4835,24.8569,69.2631,40.9613,60.2155
5911,14.8932,69.6074,27.6377,63.2165
5912,20.5048,65.9074,27.2208,67.8024
5913,17.3399,74.9576,34.9266,67.0932
5914,17.7975,68.9204,30.4204,68.3307
5921,18.021,69.4558,34.1001,57.6493
5922,10.1347,68.9998,38.6392,52.5649
5923,10.5815,67.1236,43.4973,55.4539
5931,9.0442,82.5327,47.7337,53.5152
5932,12.9076,74.4094,26.917,59.7316
5933,11.1852,65.3909,27.7681,68.017
5941,15.3936,61.4669,31.1324,66.2535
5942,13.6881,66.9275,35.2037,64.8762
5943,14.4761,69.2982,31.4008,62.0186
5951,11.108,76.9851,37.7246,57.2622
5952,19.0299,76.5058,38.2755,57.3703
5953,29.9048,69.928,35.5417,56.0739
range,22.2841,26.2563,34.5867,32.0852
quintile,4.5,5.3,6.9,6.4
start,8.5,56.2,26.4,44.7
step 2,13,61.5,33.3,51.1
step 3,17.5,66.8,40.2,57.5
step 4,22,72.1,47.1,63.9
end,26.5,77.4,54,70.3
